1,  0,   9, 3   
2,  1,   2, 5   
3,  6,   1, 1   
4,  10,  7, 4  
5,  11,  2, 4  
6,  15,  9, 3  
7,  18,  9, 3  
8,  20,  4, 5  
9,  22,  6, 2  
10, 25,  3, 4 
11, 27,  5, 5 
12, 30,  3, 4 
13, 34,  6, 3 
14, 35,  8, 2 
15, 39,  4, 4 
16, 40,  9, 4 
17, 41,  5, 1 
18, 45,  5, 1 
19, 48,  3, 3 
20, 50,  6, 5 
21, 51,  4, 2 
22, 53,  9, 5 
23, 56,  5, 4 
24, 58,  5, 4 
25, 59,  4, 4 
26, 64,  5, 4 
27, 69,  7, 1 
28, 70,  4, 1 
29, 72,  1, 4 
30, 74,  8, 2 
31, 79,  7, 4 
32, 80,  4, 1 
33, 83,  6, 4 
34, 84,  8, 2 
35, 85,  4, 2 
36, 87,  5, 3 
37, 90,  4, 3 
38, 94,  9, 1 
39, 99,  7, 3 
40, 100, 7, 4
41, 103, 9, 2
42, 108, 2, 3
43, 112, 5, 2
44, 115, 8, 1
45, 117, 5, 3
46, 118, 8, 3
47, 122, 5, 3
48, 123, 5, 4
49, 124, 7, 5
50, 128, 8, 2
51, 131, 5, 1
52, 134, 4, 2
53, 138, 1, 5
54, 141, 4, 4
55, 142, 6, 2
56, 147, 3, 3
57, 148, 4, 4
58, 152, 2, 1
59, 153, 5, 2
60, 154, 2, 3
61, 155, 2, 4
62, 159, 4, 1
63, 163, 4, 5
64, 165, 3, 1
65, 168, 6, 4
66, 169, 2, 4
67, 174, 4, 4
68, 179, 9, 3
69, 183, 7, 5
70, 188, 7, 5
71, 193, 7, 3
72, 197, 3, 5
73, 198, 6, 2
74, 199, 6, 5
75, 200, 5, 3
76, 204, 8, 4
77, 205, 5, 5
78, 210, 7, 2
79, 214, 2, 2
80, 215, 1, 1
81, 219, 1, 3
82, 222, 9, 1
83, 223, 9, 1
84, 227, 1, 5
85, 232, 5, 1
86, 233, 3, 5
87, 235, 8, 4
88, 239, 9, 5
89, 240, 7, 1
90, 243, 9, 3
91, 248, 8, 4
92, 253, 9, 5
93, 257, 3, 5
94, 261, 3, 2
95, 264, 1, 3
96, 267, 1, 3
97, 268, 7, 1
98, 272, 4, 5
99, 274, 9, 3
